Name,CPF,AGE,ArrivalTime,DepartureTime,SubectType,Description,Providence,Duration,SubectType,Description,Providence,Duration,SubectType,Description,Providence,Duration,SubectType,Description,Providence,Duration
MarcosRaylan,865.352.568-80,15,100,0,1,qwerty,qwerty,5,1,qwerty,qwerty,5,1,qwerty,qwerty,5,5,qwerty,qwerty,5
JosédaSilva,542.887.643-35,100,110,0,2,qwerty,qwerty,10,2,qwerty,qwerty,10,2,qwerty,qwerty,10,10,qwerty,qwerty,10
Ciqueira,223.471.857-05,75,120,0,3,qwerty,qwerty,15,3,qwerty,qwerty,15,,,,,,,,
Manuel,162.353.560-30,21,130,0,4,qwerty,qwerty,20,4,qwerty,qwerty,20,2,qwerty,qwerty,5,5,qwerty,qwerty,5
Raimunda,055.436.836-69,23,140,0,5,qwerty,qwerty,25,5,qwerty,qwerty,25,3,qwerty,qwerty,10,10,qwerty,qwerty,10
Prazeracinho,055.436.836-69,32,150,0,6,qwerty,qwerty,30,,,,,,,,,,,,
Mônica,121.237.688-98,62,160,0,7,qwerty,qwerty,35,7,qwerty,qwerty,5,7,qwerty,qwerty,5,5,qwerty,qwerty,5
CarladaSilva,141.173.578-16,40,170,0,8,qwerty,qwerty,40,8,qwerty,qwerty,10,8,qwerty,qwerty,10,10,qwerty,qwerty,10
João,831.122.803-50,45,180,0,9,qwerty,qwerty,45,9,qwerty,qwerty,15,,,,,,,,
Olávo,513.029.423-87,50,190,0,10,qwerty,qwerty,50,10,qwerty,qwerty,20,10,qwerty,qwerty,5,5,qwerty,qwerty,5
Manuel,268.242.515-18,55,200,0,1,qwerty,qwerty,55,1,qwerty,qwerty,25,1,qwerty,qwerty,10,10,qwerty,qwerty,10
Jurema,801.765.608-40,60,210,0,2,qwerty,qwerty,60,2,qwerty,qwerty,30,2,qwerty,qwerty,10,15,qwerty,qwerty,15
PrefiroNãoDizer,245.263.527-80,65,220,0,3,qwerty,qwerty,65,3,qwerty,qwerty,35,3,qwerty,qwerty,10,,,,
TópicoDeEngenharia,481.150.326-03,70,230,0,4,qwerty,qwerty,70,4,qwerty,qwerty,40,4,qwerty,qwerty,10,25,qwerty,qwerty,5
FaltouNomeParaCompletar,621.707.818-03,75,240,0,5,qwerty,qwerty,75,5,qwerty,qwerty,45,5,qwerty,qwerty,10,30,qwerty,qwerty,10
AlannSousa,965.632.923-64,80,250,0,6,qwerty,qwerty,80,6,qwerty,qwerty,50,6,qwerty,qwerty,10,35,qwerty,qwerty,15
MariaAline,788.515.734-25,85,260,0,1,qwerty,qwerty,85,1,qwerty,qwerty,55,1,qwerty,qwerty,10,40,qwerty,qwerty,20
SilvanaPereira,217.048.270-94,90,270,0,8,qwerty,qwerty,90,,,,,,,,,,,,
AlfredoCarlos,265.640.721-47,95,280,0,9,qwerty,qwerty,95,9,qwerty,qwerty,5,1,qwerty,qwerty,10,5,qwerty,qwerty,5
Dilma,319.447.228-31,45,290,0,2,qwerty,qwerty,100,2,qwerty,qwerty,10,2,qwerty,qwerty,10,10,qwerty,qwerty,10
Lula,435.513.812-75,57,300,0,10,qwerty,qwerty,105,10,qwerty,qwerty,15,3,qwerty,qwerty,10,15,qwerty,qwerty,15
